	BLCA	BRCA	CESC	COAD	GBM	HNSC	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	OV	SKCM	STAD
Proliferation_DNA_Repair	0.0861654871284	0.17501688055	-0.0893871938976	-0.190300805283	-0.161657338099	0.176685067779	0.171410886283	0.27774912435	0.0244792556772	0.0816473605254	0.299128465811	0.27490208798	-0.205255501761	-0.181740191852	0.0737935241546	-0.113940517635
Immunecell	-0.0422190678518	-0.147969812177	-0.0824747617151	-0.0536642580542	0.15900531584	-0.101481669684	-0.0184659051764	0.16359735906	0.060817424825	0.26843985887	0.048420539747	-0.103816783489	0.247478217885	-0.146801274161	-0.322711574489	-0.149485012641
Tumor_suppressing_miRNA_targets	0.153521010411	0.197594840856	0.142222227421	0.028445954358	-0.0553579005647	0.0254416155289	-0.0875129598503	0.126859106899	-0.213176665834	0.0707049883752	0.144295638588	0.0546948964052	0.0417797476471	-0.0377385526095	-0.138962900752	0.0574227170204
MES_ECM	0.200182204031	-0.0250446413522	0.157756479131	0.176747041062	0.166955609619	0.0190075831049	0.0341009641801	0.161576755314	-0.0919948039536	0.169718189538	0.0775693950947	0.042786473289	0.160949245387	0.0247913353397	-0.0218729767763	0.190676197757
MYC_targets_TERT	0.00656444859743	-0.047206519454	-0.0440679601102	-0.0504181813463	-0.0235316700786	0.13436001375	0.0968561463707	0.111943858433	0.0448473207375	-3.10219411332e-05	0.106886673101	0.0737666681724	-0.0379313380926	-0.0828613399618	0.0890606257969	-0.13242866719
Squamous_differentiation_development	0.209176250465	0.0371822573976	0.120613957918	-0.0359223895231	0.193326060234	0.0860447841423	0.0059508755668	0.104962756323	0.00871965628696	0.201077801785	0.207118021011	0.193321740729	0.111320742018	0.00803107464729	0.0902838358121	-0.0113689765872
Estrogen_signaling	-0.067494514114	-0.199172578491	0.0239900392261	0.0544728725867	0.149285293364	-0.0627999055231	-0.048916076893	-0.0319133401088	-0.0945865886273	0.0198688634891	-0.0798527379623	-0.176415927154	0.21433159115	0.0170525093673	-0.0250189604862	0.0386402204187
FOXO_stemness	0.040477456578	0.026906562175	0.0352844722636	0.0733010830122	0.0315702682973	-0.0362315827107	-0.0412314316008	0.0660187821054	-0.12389150434	0.0294018726484	0.0592758189095	-0.0615920786135	0.0661228923578	-0.0639053810145	-0.0743408323636	0.0504835437518
Cellcell_adhesion	-0.243359501823	0.0412489982258	-0.0177417389307	-0.00556821273662	0.133622944158	-0.0426656754937	-0.076300654098	-0.0855710230479	-0.0401483543024	0.0179096714739	-0.0796092151869	-0.0802534344372	0.116978877404	0.0128524324895	0.211975350513	-0.33052736901
Fatty_acid_oxidation	-0.0221356406493	-0.10010851942	-0.0698306441081	-0.110049496742	0.0649750973743	0.0836931636539	-0.171703554467	-0.0885449829736	0.10558625422	0.0329669171969	-0.0961516698802	-0.00573793227741	0.0860092025317	-0.0420447740697	0.137492141372	-0.0827473988856
Interferon	-0.134089426277	-0.288754644378	-0.113758112856	-0.152447482774	0.126480808701	-0.0653390430124	0.0916000872275	0.216267667471	0.30613120936	0.456861499919	0.141724184379	0.0381657144168	0.361274518717	-0.252274879403	-0.603415558273	-0.3188011495
Hypoxia_glycolysis	0.166922456518	0.112151958784	0.304719672833	0.107920577477	0.257522281771	0.230350783529	-0.10088580936	0.203680684839	0.0423184922201	0.0113874249203	0.26328339377	0.318053282432	-0.0146004211147	0.010043627583	0.190819861215	0.00370669666827
Neural_signaling	0.105912934933	-0.0994504675919	-0.015217888001	0.18713748101	0.206591480243	-0.0568735224501	-0.00159959376647	-0.00936260160568	-0.0688107018221	-0.165275857752	0.00483663485156	-0.139869804683	0.113987841832	0.0312660479511	0.0030437873973	0.157310488233
Plasma_membrane_cellcell_signaling	0.0133597167402	-0.133631393343	-0.0572213162324	0.174725039447	0.0506434437217	-0.0692086034598	0.13894033582	-0.00479174851453	0.104349803357	-0.0134745226314	0.0111598167899	-0.0618534274064	0.071601377567	0.015013944958	0.110663411731	-0.140379391563
EGF_signaling	0.160492751963	-0.16926684937	0.148480305923	0.103152414752	0.339205680562	0.088420381846	0.0115845990109	0.0809173799474	-0.0226740159468	0.308480740142	0.148106594724	0.17434253434	0.339863889777	0.250900743314	-0.17002944876	0.137122287477
MAPKs	0.00258205274593	-0.0553723252848	0.011147407413	0.0528881728064	0.1246163389	-0.0398400657261	0.0320270634082	0.0964397828798	0.0316746825703	0.114249313371	0.0750744219374	-0.0475811662109	0.165846174644	-0.0662509814553	-0.0938532214634	-0.0770594447002
Basal_signaling	0.186867862987	0.0503252387048	0.0593464983071	0.0228977896168	0.0934952090082	0.0778100876803	0.119239120355	0.237206087137	4.22191692695e-05	0.164030594165	0.260271451437	0.196783875935	-0.0190207179787	-0.108492418402	0.0764587680978	0.0540042904762
