BLCA	347	1064	139	67.9106628242	254/93	16385	532
BRCA	981	3669	116	58.3567787971	10/971	16649	30
CESC	259	3097	60	48.1042471042	0/259	16358	146
COAD	434	2475	89	66.6474654378	232/202	16414	0
GBM	152	406	119	59.8421052632	98/54	16833	0
HNSC	484	1671	190	61.2458677686	353/131	16652	45
KIRC	516	2386	167	60.6608527132	335/181	16677	5785
KIRP	247	NA	32	60.8016194332	181/66	16430	2415
LAML	149	577	92	54.677852349	80/69	15255	4
LGG	457	2875	91	43.1444201313	255/202	16818	7186
LIHC	324	2116	105	60.0864197531	217/107	15855	2
LUAD	486	1379	146	65.2592592593	224/262	16784	1179
LUSC	471	1655	180	67.4309978769	352/119	16979	0
SKCM	427	2889	195	57.4613583138	264/163	16067	1548
OV	401	1321	224	59.6009975062	0/401	15748	0
STAD	361	874	130	65.2465373961	238/123	15560	0
